band,album,date,genre,country,real_date,count
"Tomb of Teeth","Savage Art","August 20th, 2015 ","Sludge/Doom Metal","United States",1/1/2015,1
"Sand Aura","Elegy of the Orient","October 2012","Progressive Metal with Middle-Eastern Folk influences",Egypt,1/1/2012,1
Calatrilloz,"The Twilight Journey",2010,"Gothic Metal/Rock","United Kingdom",1/1/2010,1
Ramses,Apocalipsis,"March 1985","Heavy Metal, Speed/Power/Thrash Metal",Mexico,1/1/1985,1
Procton,"Mental Metalized",2005,"Thrash Metal",Germany,1/1/2005,1
Necron,Renaissance,2002,"Death Metal",France,1/1/2002,1
Elixir,"All Hallows Eve","October 31st, 2010 ","NWOBHM, Heavy Metal","United Kingdom",1/1/2010,1
"In Vain","Spirit of Earth",2005,"Heavy/Thrash/Power Metal",Spain,1/1/2005,1
"While Sad Spirits Around Me Stroll",Ghost,2010,"Black Metal",France,1/1/2010,1
"X, Y, Z","The Right Way of...","June 5th, 2016 ","Progressive Death/Thrash Metal",Czechia,1/1/2016,1
Batyushka,Evangelie,"December 24th, 2019 ","Black Metal",Unknown,1/1/2019,1
"Scar Character","First Steps",2008,"Power/Thrash Metal",Switzerland,1/1/2008,1
Feedback,"Savage Tracks","March 1991","Power Metal",Germany,1/1/1991,1
Youdash,Astrophobia,"December 16th, 2016 ","Groove/Thrash Metal (early), Progressive Death Metal (later)",Poland,1/1/2016,1
"October Falls","A Fall of an Epoch","May 30th, 2020 ","Atmospheric Black Metal, Neofolk",Finland,1/1/2020,1
"Fetus in Fetu","Mongolian Meatfarm","September 5th, 2018 ","Brutal Death Metal",Denmark,1/1/2018,1
Bajel,"Heavy Metal Opera","November 2008","Power/Heavy Metal",Spain,1/1/2008,1
"Dimaension X",Dimaex5001,"December 26th, 2017 ",Various,"United States",1/1/2017,1
"Mysterious Eclipse","Hell of Pain","June 16th, 2013 ","Death/Black Metal",Slovakia,1/1/2013,1
Depth,"Atra Morte","March 10th, 2016 ","Atmospheric Black Metal",Ukraine,1/1/2016,1
"Insane Court","Oil Sucking Animal",2009,"Thrash/Death/Groove Metal",Greece,1/1/2009,1
"Dies Irae","Make My Grave Clean from the Cross",1995,"Death Metal",Latvia,1/1/1995,1
"Decibel Race","Feel the Fear","November 17th, 2018 ","Heavy Metal",Spain,1/1/2018,1
Continuum,Relics,"May 1st, 2020 ","Death/Thrash/Groove Metal","United States",1/1/2020,1
Esperoza,Esperoza,"June 21st, 2014 ","Symphonic Extreme/Gothic Metal",Moldova,1/1/2014,1
Idolos,"Ahi Cab","January 27th, 2020 ","Atmospheric Black Metal",France,1/1/2020,1
"Six Feet Under","Death Rituals","November 10th, 2008 ","Death/Groove Metal, Death 'n' Roll","United States",1/1/2008,1
Bloodscribe,"Destruction of Life",2007,"Brutal Death Metal/Deathcore","United States",1/1/2007,1
Maskbreaker,"Toxic Trace of Devastation","September 2008","Death Metal",Austria,1/1/2008,1
"Fatal Aggression",Demo,"May 1992","Thrash Metal","United States",1/1/1992,1
Svartalfheim,"For Their Memories...","October 22nd, 2007 ","Folk/Black Metal",Brazil,1/1/2007,1
"No Further Truth","Pished Off A Bottle E.P",2005,Metalcore,"United Kingdom",1/1/2005,1
"Rapid Decay","Rapid Decay",2003,"Thrash Metal/Crossover","United States",1/1/2003,1
"Winds of Disease","Æsthetics of Perversions","June 30th, 2015 ","Death Metal",Switzerland,1/1/2015,1
Smohalla,"Smolensk Combustion",2006,"Avant-garde Post-Black Metal",France,1/1/2006,1
"Dawn Patrol","Before the Dawn","July 15th, 2008 ","Heavy/Thrash Metal",Slovenia,1/1/2008,1
Zero,"Rape, Pillage and Burn",2009,"Thrash/Groove Metal","United Kingdom",1/1/2009,1
Morr,Morr,2004,"Melodic Heavy Metal",Poland,1/1/2004,1
Gorepot,"Things Asians Do When They Are Done with Homework","June 30th, 2020 ","Brutal Death Metal/Grindcore",Taiwan,1/1/2020,1
"Unlight Domain","Descensus Averni",2008,"Black Metal",Cuba,1/1/2008,1
Svartalvs,"Forgotten Darkness","November 30th, 2012 ","Black Metal",Germany,1/1/2012,1
"The Crucifier","Escape or Die","May 2004","Thrash Metal",Greece,1/1/2004,1
Trist,Hin-fort,"May 5th, 2007 ","Dark Ambient/Black Metal",Germany,1/1/2007,1
GAFR,"Demo 2","June 18th, 2019 ","Post-Black Metal/Ambient","United Kingdom",1/1/2019,1
"Fallen Angels","Black Lotus","October 3rd, 2003 ","Melodic Death Metal",Sweden,1/1/2003,1
Vexed,"Legion Deathblood","September 27th, 2016 ","Black/Death/Thrash Metal",Italy,1/1/2016,1
Technikill,Technikill,1988,"Thrash/Speed Metal","United States",1/1/1988,1
Starshield,Starshield,2003,"Power Metal/Hard Rock",Italy,1/1/2003,1
"Blasphemous Crucifixion","Rough Rehearsal I",2001,"Black Metal","United States",1/1/2001,1
Neverness,"Demo 2008","January 15th, 2008 ","Experimental Drone/Doom/Death Metal",Peru,1/1/2008,1
Archaic,"Time Has Come to Envy the Dead","January 15th, 2006 ","Thrash Metal",Hungary,1/1/2006,1
Warlock,"Demo 1985",1985,"Heavy/Thrash Metal","United States",1/1/1985,1
Equipoise,"Birthing Homunculi","August 5th, 2016 ","Technical/Progressive Death Metal","United States",1/1/2016,1
Harhoog,Asceticism,"October 17th, 2014 ","Black/Doom Metal","United States",1/1/2014,1
"Mind Warp","Demo 2015","June 7th, 2015 ","Heavy Metal","United States",1/1/2015,1
"Nuclear Punishment","Nuclear Punishment","October 29th, 2005 ",Crossover,Philippines,1/1/2005,1
"Requiem di Rex","The Beginning of the Ignorance",2007,"Death/Thrash Metal",Mexico,1/1/2007,1
"The Beneath","City of Light","April 2009","Progressive Metal","United States",1/1/2009,1
HumanMeatGrinder,"Slowly Almost Stopping",2005,Goregrind/Crossover,Brazil,1/1/2005,1
Anticipation,Anticipation,2003,"Death Metal",Germany,1/1/2003,1
Fuzzsage,Fuzzsage,"July 22nd, 2020 ","Doom/Stoner Metal","United States",1/1/2020,1
"Lazy Bonez","Vol. 1","June 28th, 2013 ","Melodic Heavy Metal/Hard Rock",Finland,1/1/2013,1
"Cloud Burial","Impious Lamps",2010,"Atmospheric Sludge Metal","United States",1/1/2010,1
"Forgotten Realm","Demo 2003",2003,"Neoclassical Power Metal","United States",1/1/2003,1
Obliterate,Superboring,"August 6th, 2012 ","Death Metal/Grindcore",Slovakia,1/1/2012,1
"Chronicle of Tyrants","Nemesis MMIV",2004,"Melodic Death Metal",Germany,1/1/2004,1
Flamethrower,"A Treason or the Truth","April 30th, 2010 ","Heavy Metal",Croatia,1/1/2010,1
Exhalted,"2005 - Demo",2005,"Melodic Death Metal","United States",1/1/2005,1
"Tribunos da Plebe",Psique,"May 1994","Thrash Metal",Brazil,1/1/1994,1
Dustar-3,"Dustar II","May 7th, 2004 ","Heavy Metal",Japan,1/1/2004,1
"Nox Eterna","The Ocean Is Mine","June 21st, 2013 ","Heavy Metal",Brazil,1/1/2013,1
"Nocturnal Witch","Promo 2011","February 18th, 2011 ","Black/Thrash Metal",Germany,1/1/2011,1
Fleshgore,"Wake Up for Freedom",2007,"Brutal Death Metal (early/later), Thrash Metal/Deathcore (mid)",Ukraine,1/1/2007,1
"Evil Possession","Evil Possession","August 20th, 2010 ","Thrash Metal",Colombia,1/1/2010,1
Centimani,Aegaeon,"June 29th, 2012 ","Death Metal","United States",1/1/2012,1
Cruciatus,"Antropofagia obscena",2009,"Brutal Death Metal/Grindcore",Colombia,1/1/2009,1
Nykteros,Demo,2006,"Black Metal","United States",1/1/2006,1
"Cronium Mare","Principio del fin",2006,"Progressive/Power Metal",Spain,1/1/2006,1
Traksion,"A sangre",2001,"Heavy Metal",Argentina,1/1/2001,1
"Dark Eden","Heart of Stone","January 2001","Melodic Symphonic Metal",Sweden,1/1/2001,1
"Fénix","Svět je zlej",2008,"Heavy Metal",Czechia,1/1/2008,1
Harridan,"Dramatic Ritual","November 21st, 2001 ","Black Metal",Poland,1/1/2001,1
Sigh,"Imaginary Sonicscape","July 23rd, 2001 ","Black/Avant-garde Metal",Japan,1/1/2001,1
"Cathis Ord","The Far Shore","January 31st, 2011 ","Gothic/Progressive Metal","United Kingdom",1/1/2011,1
Hyades,"Abuse Your Illusions","November 14th, 2005 ","Thrash Metal",Italy,1/1/2005,1
"Comando Nuclear","Batalhão Infernal","April 15th, 2006 ","Heavy/Speed Metal",Brazil,1/1/2006,1
Tekilahell,"Live in Studio","September 20th, 2012 ","Heavy/Southern Metal/Hard Rock",Brazil,1/1/2012,1
Ruwm,Dibboek,"November 21st, 2016 ","Raw Black Metal",Netherlands,1/1/2016,1
"Dead to Earth","Weltschmerz I","August 2004","Black Metal","United States",1/1/2004,1
Ah-Puch,"I Drowned in Tears","March 24th, 2014 ","Black Metal/Ambient",Mexico,1/1/2014,1
Gerbophilia,"Ouille Ouille Ouille",2004,"Grindcore/Death Metal",Switzerland,1/1/2004,1
Primeval,"The Cult LP","February 21st, 2004 ","Dark Black/Death Metal",Canada,1/1/2004,1
I.N.R.I.,"First Blasphemy",1989,"Industrial/Black Metal",Mexico,1/1/1989,1
Disharmony,"The Abyss Noir","April 20th, 2017 ","Heavy/Doom Metal",Greece,1/1/2017,1
Hateism,Constellation,"January 3rd, 2015 ","Progressive Death Metal",Russia,1/1/2015,1
Fused,Fused,2005,"Melodic Heavy/Stoner Metal/Rock","United States",1/1/2005,1
"Rotten Age","Promo 2011","July 1st, 2011 ","Black Metal",Poland,1/1/2011,1
"Anorexia Nervosa",Drudenhaus,"April 1st, 2000 ","Death Metal (early); Symphonic Black Metal (later)",France,1/1/2000,1
"Electric Hellessence","Less Blood to Bleed",2010,"Thrash Metal",Switzerland,1/1/2010,1
Nekromanteion,"Cosmic Horrors","June 19th, 2015 ","Black/Death Metal",Bolivia,1/1/2015,1
"Fatal Fear",Afterdeath,2008,"Melodic Death Metal",Mexico,1/1/2008,1
"Epoch Crysis","Gal agnostiske drømmer","August 10th, 2011 ","Industrial Metal",Russia,1/1/2011,1
Natron,Unpure,"November 2000","Technical Death Metal",Italy,1/1/2000,1
"Forgotten Soul","Demonic Crucifixion","May 26th, 2018 ","Raw Black Metal","United States",1/1/2018,1
Raider,"Urge to Kill","March 9th, 2018 ","Thrash/Death Metal",Canada,1/1/2018,1
Svartsyn,"Wrath upon the Earth","January 24th, 2011 ","Black Metal",Sweden,1/1/2011,1
"White Zombie","Psycho-Head Blowout","May 1987","Noise Rock/Heavy Metal (early); Groove Metal/Industrial Rock (later)","United States",1/1/1987,1
"Thus Defiled",Daemonspawn,"February 4th, 2007 ","Black Metal","United Kingdom",1/1/2007,1
Glistening,"Nestled in Sweet Nocturnity","February 18th, 2019 ","Black Metal",Canada,1/1/2019,1
"Matthew Mills","Flamenco Fusion Fire","April 19th, 2013 ","Neoclassical Metal/Shred","United States",1/1/2013,1
"Eye of Providence","Struggle of Thoughts","September 18th, 2018 ","Melodic Death Metal",Germany,1/1/2018,1
"Head Krusher","Inner Curse","June 1st, 2015 ","Thrash/Death Metal",Brazil,1/1/2015,1
ESP,"Demo '86","May 11th, 1986 ","Power Metal","United States",1/1/1986,1
Panchrysia,"Deathcult Salvation","February 25th, 2008 ","Black Metal",Belgium,1/1/2008,1
"Nokturnal Maelstrom","Nokturnal Maelstrom","July 12th, 2019 ","Black Metal","United States",1/1/2019,1
"At Vance","No Escape (Promo)",1999,"Neoclassical/Power Metal",Germany,1/1/1999,1
"Symbiotic Systems","The Awakening","July 29th, 2011 ","Symphonic Metal/Rock",Germany,1/1/2011,1
Abxenta,"Te encontré","July 1st, 2005 ","Heavy Metal",Spain,1/1/2005,1
Dengel,Dengel,"April 30th, 2007 ","Gothic Metal/Rock",China,1/1/2007,1
"Big Lich","Midnight Tentacles","October 25th, 2018 ","Chiptune/Electronic Power Metal","United States",1/1/2018,1
"Goats Rising",Asche,"January 10th, 2020 ","Melodic Death/Thrash/Groove Metal",Germany,1/1/2020,1
"Bleed Again",Momentum,"May 1st, 2017 ",Metalcore,"United Kingdom",1/1/2017,1
Panzerchrist,"Regiment Ragnarok","April 18th, 2011 ","Death/Black Metal",Denmark,1/1/2011,1
Elis,"Dark Clouds in a Perfect Sky","October 4th, 2004 ","Gothic Metal",Liechtenstein,1/1/2004,1
Winterwitch,"Time of the Wolves","February 9th, 2004 ","Pagan/Black Metal",Canada,1/1/2004,1
"Sick's Agony","Depressive Instinct","August 2006","Black Metal",Italy,1/1/2006,1
Axioma,"Rebel Inside",1996,"Death/Thrash Metal",Canada,1/1/1996,1
"Crypt Sermon","The Ruins of Fading Light","September 13th, 2019 ","Epic Doom Metal","United States",1/1/2019,1
"Supersonic Dragon Wagon","Lost in Confusion","September 20th, 2019 ","Stoner Metal/Rock","United States",1/1/2019,1
"Mountain Grave","The Ancient Disease","June 19th, 2012 ","Blackened Death Metal","United States",1/1/2012,1
"Cerebral Effusion","Impulsive Psychopathic Acts","March 6th, 2010 ","Brutal Death Metal",Spain,1/1/2010,1
Insanity,Psychohome,2009,"Thrash Metal/Groove",Switzerland,1/1/2009,1
Tiamat,Amanethes,"May 2nd, 2008 ","Death/Doom Metal (early); Gothic Metal/Rock (later)",Sweden,1/1/2008,1
Drugoth,Lutaum,"September 2nd, 2019 ","Black Metal/Crust",Australia,1/1/2019,1
Thunderstone,"Apocalypse Again","April 1st, 2016 ","Power Metal",Finland,1/1/2016,1
"Fecal Corpse","Promo 2005",2005,"Death Metal/Goregrind","United States",1/1/2005,1
"Kera Munin",Demonstration,"September 14th, 2020 ","Black Metal",Germany,1/1/2020,1
Azotador,"Insertando la sustancia","September 27th, 2014 ","Thrash Metal",Bolivia,1/1/2014,1
LawShed,"Demo '89","August 1990","Thrash Metal",Japan,1/1/1990,1
"Anunciaçom","Antecipaçom da Génese","August 26th, 2019 ","Black/Death Metal",Spain,1/1/2019,1
Blacklodge,InnerCells,"April 1999","Industrial Black Metal",France,1/1/1999,1
"Severed Hand","На краю мира... (On the Edge of the World)","December 24th, 2019 ","Melodic Death Metal",Russia,1/1/2019,1
Nekhrah,"Cosmic Apostasy","September 29th, 2017 ","Death Metal",Cyprus,1/1/2017,1
"Radical Corps","The Unsolved of Euphony Destruction",1998,"Thrash/Death Metal",Indonesia,1/1/1998,1
"Notturno Immenso","For You","July 23rd, 2017 ","Doom/Gothic Metal",Italy,1/1/2017,1
Pruinosus,Demo,"December 2nd, 2017 ","Raw Black Metal",Malaysia,1/1/2017,1
"Sacrificial Death","Don't Take the M666",1988,"Thrash Metal","United States",1/1/1988,1
"Double Deuce","Soldiers in the Sun",1992,"Heavy Metal",Sweden,1/1/1992,1
Amatory,"Sabda Pandita Ratu",2006,"Gothic Metal",Indonesia,1/1/2006,1
"Black Tide","Bite the Bullet","November 12th, 2013 ","Heavy/Power Metal (early), Metalcore (later)","United States",1/1/2013,1
"Axis of Despair","Time and Again","November 29th, 2015 ",Grindcore,Sweden,1/1/2015,1
"Infernal Inquisition","Ante o Palácio Negro",2012,"Black Metal",Brazil,1/1/2012,1
Haunt,"Mind Freeze","January 10th, 2020 ","Heavy Metal","United States",1/1/2020,1
"Cadaverous Contingency",Abolition,"December 22nd, 2018 ","Brutal Death Metal","United States",1/1/2018,1
"Lust Funeral","Cosmic Torment","April 26th, 2006 ","Black/Thrash Metal",Brazil,1/1/2006,1
"Spectral Revenge","Promo 2009","January 5th, 2009 ","Thrash Metal",Paraguay,1/1/2009,1
Nyne,Nyne,"January 1st, 2012 ","Industrial Black Metal",Greece,1/1/2012,1
"Reign of Fear","Scars of Time",2008,"Thrash Metal","United Kingdom",1/1/2008,1
Badhead,"We Are Badhead","July 13th, 2018 ","Thrash/Heavy Metal",Russia,1/1/2018,1
"Damned Grave","The Eternal Sea","August 20th, 2009 ","Black/Speed Metal/Crust",Canada,1/1/2009,1
Through,"Венец творения","December 6th, 2014 ","Black Metal",Ukraine,1/1/2014,1
Trouble,"Manic Frustration","June 16th, 1992 ","Doom Metal (early); Psychedelic Doom/Stoner Metal (later)","United States",1/1/1992,1
"Scourged Flesh","Released from Damnation",2006,"Death/Thrash Metal",Australia,1/1/2006,1
"Black Curtains","Forgotten Suns","February 2008","Thrash Metal",France,1/1/2008,1
"Seventh Avenue",Rainbowland,1995,"Melodic Speed/Power Metal",Germany,1/1/1995,1
"Abomination Wide","Hypocrites Must Die",2014,"Thrash/Death Metal",Brazil,1/1/2014,1
Iphicrate,"Résurgence","November 24th, 2017 ","Raw Viking Metal",France,1/1/2017,1
"Torn Flesh","Love Kills",1988,"Thrash Metal","United States",1/1/1988,1
Interphase,"Demo '88",1988,"Doom Metal","United States",1/1/1988,1
Dymaxion,"Awakened by Reality",1996,"Thrash Metal","United States",1/1/1996,1
"Apathy Noir","A Silent Nowhere","April 24th, 2008 ","Death/Progressive/Doom Metal",Sweden,1/1/2008,1
"Genetic Infection","Reemergente del subconsciente","August 3rd, 2016 ","Technical Thrash Metal",Bolivia,1/1/2016,1
Nee,"Spieghel Historial","June 2000","Doom Metal",Netherlands,1/1/2000,1
"Rubén Álvarez",Anochecer,"September 3rd, 2019 ","Heavy/Power Metal",Spain,1/1/2019,1
"Destitute Savior",Exhumed,1993,"Death Metal","United States",1/1/1993,1
Dystrophy,"Chains of Hypocrisy","June 17th, 2010 ","Progressive/Thrash Metal (early); Technical Death Metal (later)","United States",1/1/2010,1
Poison,"Rehearsal March '86","March 1986","Death/Thrash Metal",Germany,1/1/1986,1
Ekpyrosis,"Mensch aus Gold","October 21st, 2008 ","Avant-garde Black Metal",Germany,1/1/2008,1
Cojones,"Las cinco muertes","March 4th, 2011 ","Groove Metal/Metalcore",Hungary,1/1/2011,1
"Black Candle","Winter of Wrath",1997,"Black Metal",Luxembourg,1/1/1997,1
Temptamentum,"A Midnight Masquerade",1997,"Death/Black Metal",Germany,1/1/1997,1
Maintower,Flagelo,"December 2015","Heavy Metal",Honduras,1/1/2015,1
"Wroughting Woods","The Path of Awakening","March 15th, 2019 ","Atmospheric Black Metal, Dark Ambient","United States",1/1/2019,1
Bloodjinn,"This Machine Runs on Empty","March 6th, 2007 ","Thrash Metal/Metalcore","United States",1/1/2007,1
"Satanic Temple","Necroaryan Supremacy",2002,"Black Metal",Poland,1/1/2002,1
"Trans Am","Born to Boogie",1987,"Heavy Metal/Hard Rock",Germany,1/1/1987,1
Tribulation,"The Horror","January 19th, 2009 ","Death Metal (early); Gothic Metal (later)",Sweden,1/1/2009,1
Silent,Breathless,2009,"Groove/Thrash Metal",Spain,1/1/2009,1
Eviternity,Aurost,1997,"Pagan Black/Death Metal",France,1/1/1997,1
"Long Road","Álmatlanság","May 11th, 2012 ","Melodic Heavy Metal",Hungary,1/1/2012,1
"Torture Inc.","The Witness Abduction Program","October 24th, 2015 ","Brutal Death Metal",Australia,1/1/2015,1
"Neutron Hammer","Apokalyptik Attakk","August 2004","Blackened Death/Thrash Metal",Finland,1/1/2004,1
Farmakon,"A Warm Glimpse","October 7th, 2003 ","Progressive Death Metal",Finland,1/1/2003,1
"Piel de Cadaver","Atraído por el pútrido hedor de la morgue",2010,Goregrind,International,1/1/2010,1
"Placenta Powerfist",Raped.Defleshed.Exterminated,"August 20th, 2012 ","Brutal Death Metal",Germany,1/1/2012,1
Tengkorak,"Civil Emergency",2005,"Death Metal/Grindcore",Indonesia,1/1/2005,1
"Pushing Onwards","Promo 2007","June 1st, 2007 ","Death Metal",Hungary,1/1/2007,1
Sarvari,"Into the Chasm of Tartarus",2013,"Black Metal",Greece,1/1/2013,1
"Roaring Empyrean","Song of the Seas","June 2nd, 2018 ","Funeral Doom Metal/New Age",Iran,1/1/2018,1
Axsaena,"Global Revolution","August 15th, 2016 ","Death/Thrash Metal",Romania,1/1/2016,1
Sciatica,"Down the Beaten Path",2006,"Sludge/Groove Metal","United States",1/1/2006,1
Avatar,"Emperors of the Night",1994,"Symphonic Black Metal (early); Gothic/Black Metal (later)",Belgium,1/1/1994,1
Nokktura,"Episodio I","July 12th, 2005 ","Progressive/Power Metal",Ecuador,1/1/2005,1
Wanderlust,"Monolithes entre ruines","September 11th, 2012 ","Black Metal","United States",1/1/2012,1
Shepherd,"Live at Kyra 18/02/12","February 20th, 2012 ","Stoner/Doom Metal",India,1/1/2012,1
"Opposite Extremities",Chapter,"February 23rd, 2017 ","Death Metal",International,1/1/2017,1
Widerwertig,"Demo I - MMXV","February 28th, 2015 ","Experimental Black Metal",Germany,1/1/2015,1
"Dawn of a Soul","Dawn of a Soul","March 2018","Death Metal","El Salvador",1/1/2018,1
Atominated,"National Suicide","January 5th, 2014 ","Thrash Metal/Crossover",Ireland,1/1/2014,1
"Acarus Sarcopt",Tarnation,"February 25th, 2014 ","Black Metal",France,1/1/2014,1
Aeon,"...the Dreaming Moment",1995,"Gothic/Doom Metal",Netherlands,1/1/1995,1
Mausoleum,"20 Anos de Bestial Massacre","November 1st, 2014 ","Death/Black Metal",Brazil,1/1/2014,1
"Gorilla Wizard","Tales from the Cauldron","August 23rd, 2019 ","Sludge/Stoner Metal","United States",1/1/2019,1
"Darkness Descended","End of Sorrow","May 2009","Black/Death Metal",Germany,1/1/2009,1
"Piraña","Piraña Attack",2004,"Thrash Metal",Mexico,1/1/2004,1
"Path of Sorrow","When Everything Disappears","February 21st, 2013 ","Symphonic Black Metal",Montenegro,1/1/2013,1
"Briar Rose","Shoot the Producer!!","March 14th, 1991 ","Heavy Metal","United States",1/1/1991,1
Masochrist,"White Demon's",1999,"Black/Death Metal","New Zealand",1/1/1999,1
Mordor,"Destruyendo Falsos Dogmas",2014,"Black Metal",Colombia,1/1/2014,1
Dhampyr,"This Smoke That Carried Us","May 4th, 2014 ","Ambient/Depressive Black Metal","United States",1/1/2014,1
"Wotan's Vrede","Fading into the Fallen Crystalline Sky","May 22nd, 2011 ","Black Metal","United Kingdom",1/1/2011,1
"Sarcoma in Christ","Rehearsal Sahtirah I","September 1st, 2001 ","Atmospheric Black Metal",Brazil,1/1/2001,1
"Moistened Disciples","Stop Praying, No One's Listening","May 30th, 2015 ","Brutal Death Metal/Grindcore","United States",1/1/2015,1
Slaughter,Paranormal,1988,"Death/Thrash Metal",Canada,1/1/1988,1
"Dark Inversion","The Land of the Dead Warriors","August 2nd, 2001 ","Black Metal",Bulgaria,1/1/2001,1
MDS,"My World","August 20th, 2014 ","Progressive/Heavy Metal/Rock",Italy,1/1/2014,1
Impiety,"Damnation of the Holy",1991,"Death Metal","United States",1/1/1991,1
Hetman,"Deja Vu",2009,"Hard Rock/Heavy Metal",Poland,1/1/2009,1
"Assemble the Chariots","The Sulphur Voids","December 17th, 2012 ","Symphonic Black Metal/Deathcore (early); Deathcore/Djent (later)",Finland,1/1/2012,1
Uncleghost,"Kidda Demo",2005,"Black Metal/Grindcore","United Kingdom",1/1/2005,1
Maleficio,"Hail You the Beast",1991,"Folk/Melodic Death Metal",Sweden,1/1/1991,1
Ex-Inferiis,"Ngul A Crist",2006,"Death/Thrash Metal",Mexico,1/1/2006,1
Saxon,"Wheels of Steel","April 3rd, 1980 ","NWOBHM, Heavy Metal","United Kingdom",1/1/1980,1
"Rhed Asphalt","Admit One",1992,"Power Metal (early); Hard Rock (later)","United States",1/1/1992,1
Agares,"The White Demo","October 23rd, 2003 ","Black Metal",Latvia,1/1/2003,1
Erased,Erased,2013,"Death/Thrash Metal",Poland,1/1/2013,1
Slytract,"Existing Unreal","August 26th, 2011 ","Technical Death/Thrash Metal",Hungary,1/1/2011,1
"In Justice",Zloba,2006,"Thrash Metal",Slovakia,1/1/2006,1
Darkthrone,"Circle the Wagons","April 5th, 2010 ","Death Metal (early); Black Metal (mid); Black/Heavy/Speed Metal (later)",Norway,1/1/2010,1
"Sober Assault","Of Violence and Woe","October 7th, 2016 ","Melodic Thrash/Death Metal",Slovenia,1/1/2016,1
Borum,Cerberus,"September 17th, 2015 ","Stoner/Doom Metal",Ukraine,1/1/2015,1
Atrox,"Mind Shadow","April 1992","Melodic Doom/Death Metal (early); Avant-garde/Progressive Metal (later)",Norway,1/1/1992,1
"Tengger Cavalry","Mountain Side","April 1st, 2016 ","Melodic Death/Folk Metal",China,1/1/2016,1
Rothgar,"Inside the Glass Confines","March 1st, 1993 ","Thrash Metal",Australia,1/1/1993,1
Asphyx,"Last One on Earth","October 1992","Death/Doom Metal",Netherlands,1/1/1992,1
Hellberg,"Suburban Grey","April 26th, 2016 ","Black/Doom Metal",Finland,1/1/2016,1
Innvein,Timeless,"November 13th, 2013 ","Progressive Metal",Argentina,1/1/2013,1
Veiled,"Omniscient Veil","September 13th, 2015 ","Black Metal","United States",1/1/2015,1
Croskill,"Escape into Fantasies",1991,"Heavy/Progressive Metal",Brazil,1/1/1991,1
"Haunted by Angels","Season of Death",2004,"Power/Doom Metal","United States",1/1/2004,1
"In Other Climes","Leftøver","February 27th, 2015 ",Metalcore,France,1/1/2015,1
"Corridoré","Corridoré","August 2nd, 2019 ",Black/Post-Metal/Rock,"United States",1/1/2019,1
"Mental Funeral","Mental Funeral","December 2nd, 2008 ","Death/Doom Metal","United States",1/1/2008,1
Ravage,Ravage,2000,"Heavy/Speed Metal",Germany,1/1/2000,1
Omnifariam,Demo,"April 14th, 2013 ","Death Metal","Puerto Rico",1/1/2013,1
KB,"KB -Demo 2016",2016,"Symphonic Metal",Mexico,1/1/2016,1
"Raining Forest","Cold Distance: Session II","October 19th, 2014 ","Ambient Black Metal","United Kingdom",1/1/2014,1
Dismember,Misanthropic,"June 20th, 1997 ","Death Metal",Sweden,1/1/1997,1
Cyhiraeth,"Eye of Zaxzull","May 2014","Black Metal","United States",1/1/2014,1
Ghastly,"Death Is Present","November 11th, 2011 ","Death Metal",Finland,1/1/2011,1
Winterdusk,"Death of an Angel",2000,"Atmospheric Gothic/Doom Metal",Greece,1/1/2000,1
"Orpheus Omega","Wear Your Sins","March 29th, 2019 ","Melodic Death Metal",Australia,1/1/2019,1
Monstrosity,Millennium,"August 1996","Death Metal","United States",1/1/1996,1
Kriptya,"Spreading the Plague",2003,"Death Metal",Brazil,1/1/2003,1
"Mjölnir","The Hour of Lemegeton",1995,"Black Metal",Germany,1/1/1995,1
Guillotine,"Off with Their Heads","January 27th, 2005 ","Power/Thrash Metal","United States",1/1/2005,1
"Iron & Stone","The Same: Yesterday, Today, Forever","June 10th, 2014 ","Stoner/Sludge Metal",Germany,1/1/2014,1
Sindone,"Time Leave My Life","January 8th, 1996 ","Thrash Metal",Italy,1/1/1996,1
"Dogmatic Absolution","Poetries of Oppression","June 9th, 2015 ","Black Metal",Italy,1/1/2015,1
"Assisting Sorrow","Promo '99",1999,"Melodic Death Metal","United States",1/1/1999,1
"Astral Aeon","Great Beyond","April 2004","Black Metal",Greece,1/1/2004,1
"Concrete Sox","Your Turn Next",1986,"Crossover/Thrash Metal, Crust Punk","United Kingdom",1/1/1986,1
"Rosa de Saron","Cartas ao Remetente","August 24th, 2014 ","Heavy Metal (early), Pop Rock (later)",Brazil,1/1/2014,1
"What Brings Ruin","Murdering Saints in the Name of God","May 1st, 2020 ","Raw Black Metal/Noise","United States",1/1/2020,1
Krigshistorie,"The South Pacific","April 2nd, 2016 ","Black Metal",Canada,1/1/2016,1
"Avernum Whispers","Beyond the River of Laments","April 18th, 2013 ","Epic Black/Doom Metal",Italy,1/1/2013,1
Lacination,"Darkness Reborn",2001,"Brutal Death Metal","United States",1/1/2001,1
"Oak Pantheon","In Pieces","May 16th, 2016 ","Atmospheric Black/Folk/Post-Metal","United States",1/1/2016,1
"No Fear","Our Saying",2000,"Heavy Metal",Italy,1/1/2000,1
"Planet Gemini",SuperGod[t]DevilMan,"July 1st, 2003 ","Doom/Stoner Metal","United States",1/1/2003,1
"Horizon Ablaze","The Weight of a Thousand Suns","February 17th, 2018 ","Black/Death Metal",Norway,1/1/2018,1
